
Sysinternals Autoruns v14.3 - Autostart program viewer
Copyright ? 2002-2026 Mark Russinovich
Sysinternals - www.sysinternals.com

Time,Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP
4/1/2024 1:11:17 AM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VmApplet,SystemPropertiesPerformance.exe /pagefile,enabled,Logon,System-wide,Change Computer Performance Settings,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\SystemPropertiesPerformance.exe,10.0.26100.1,SystemPropertiesPerformance.exe /pagefile,E28153CA6B56A315B87DD6669CAEF9CE,E8616A9A51934C62D5A3522F1A59104E34DC830F,96D93A5126F06B2D721A3B992729D299E891065C,78C97F01FA18085E70CFD81CE41526551D237B9FDC7CCE6C0BEDBB93B189F7C2,969DED862B76B2B1E7C639E743F24636D1F522477817A983B5EE329CF9F186E9,3E87C99487AA5F6290DBD69127C1C944
4/1/2024 1:12:40 AM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\AlternateShells\AvailableShells,,,Logon,System-wide,,,,,,,,,,,,
1/14/2026 10:34:20 AM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\AlternateShells\AvailableShells,30000,enabled,Logon,System-wide,Windows Command Processor,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\cmd.exe,10.0.26100.7309,"cmd.exe /c ""cd /d ""%USERPROFILE%"" & start cmd.exe /k runonce.exe /AlternateShellStartup""",6D109A3A00F210C1AB89C3B08399ED48,583BAC245F14E4E07E7508692C5D8B97F9EB9E6D,47D48DC06F90EAEA1462B665B1596EAD1765FDFE,1FBC4488027FA8CFFCDC973BC3EE27AA6A510AE16FD93E8A3E1CA4830F074E17,64AFC6DB3AAD1289533662E2D79E27DD55C7DCDB8CD918B08E145AD82AD5ACB4,B0F049C014592B156EB1FA857E99CEB9
1/14/2026 10:34:14 AM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\AlternateShells\AvailableShells,40000,enabled,Logon,System-wide,ServerCore Shell Launcher,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\servercoreshell.exe,10.0.26100.32230,servercoreshell.exe,0814A5D77B2BE09102BE6BE296B96308,C66F5804BD7F573404787182DDD8F0C0027E5C78,F4B20FF7BDC1D5CD11BE4D67B8085E59EBC2CCD3,580C2DE299AFC07029A677D53FF5D3EA7713450CAC690876A3637B71BA258688,F26FDAD108BAC27043C6D6C5B42CD66E7E330DAE5910E16AA495D06F8234CF13,C051950BFA29071D98899D2F209A3C4A
1/14/2026 10:34:27 AM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\AlternateShells\AvailableShells,60000,enabled,Logon,System-wide,Windows Explorer,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\explorer.exe,10.0.26100.32230,explorer.exe,3C157C09819BA7679B2A9FB783291826,D8B0F5DA8BCEB4DC8697D50A9B3DA5C080F4D178,A55F8899ABB6FCCF847D883D8ECC635D263446C5,2D225DC07FBB195616631ACB0E2A798713B9A94F8565DE802441287B816F4AAC,7D6628BD598D2CBE4305EC7091893CE2B1C10AEE2B09AB1A901FCA5AE5759EE7,3C7ED17F97D7578122728875D302EEF5
1/14/2026 10:51:07 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,,,Logon,System-wide,,,,,,,,,,,,
1/14/2026 10:34:31 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Applying Enhanced Security Configuration,enabled,Logon,System-wide,IOD Version Map,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\Windows\System32\iesetup.dll,11.0.26100.7309,"""C:\Windows\System32\iesetup.dll""",439B13E7DE2281084FDBA014692F6ED8,90754612D30AB2D3ADD1DF871D1158261D8EAAF3,90F546872F62150B9BA98567D01EF62E0149E5AE,6BFEC2D93D880406A4FFAF90F62DB2DCBD85D046DED530E8CF7A4856D3970B8A,1E213161074EEE3076BED181F0DD4236D7A190C1BE05960C1361BD58D31F77FE,4F81ACDDA4DA556F4584CB552F98F2FA
1/14/2026 10:34:31 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Applying Enhanced Security Configuration,enabled,Logon,System-wide,IOD Version Map,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\Windows\System32\iesetup.dll,11.0.26100.7309,"""C:\Windows\System32\iesetup.dll""",439B13E7DE2281084FDBA014692F6ED8,90754612D30AB2D3ADD1DF871D1158261D8EAAF3,90F546872F62150B9BA98567D01EF62E0149E5AE,6BFEC2D93D880406A4FFAF90F62DB2DCBD85D046DED530E8CF7A4856D3970B8A,1E213161074EEE3076BED181F0DD4236D7A190C1BE05960C1361BD58D31F77FE,4F81ACDDA4DA556F4584CB552F98F2FA
9/17/2026 1:31:15 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Microsoft Edge,enabled,Logon,System-wide,Microsoft Edge Installer,(Verified) Microsoft Corporation,(Verified) Microsoft Corporation,C:\Program Files (x86)\Microsoft\Edge\Application\153.0.4234.32\Installer\setup.exe,153.0.4234.32,"""C:\Program Files (x86)\Microsoft\Edge\Application\153.0.4234.32\Installer\setup.exe"" --configure-user-settings --verbose-logging --system-level --msedge --channel=stable",5BA9B2B53B58EE137B11689BB96DB62D,185815E67CF51F470F6BB146745CB7EDE0C726C0,42EF6E793F05CC72BAEB2EDD228DB0065DF9C239,E5F34F4AC9F90D0F64D3E0977247D76C5CBA3F049D1C004B0AB92C7C10EC2BAD,EACE106BC15B93BFF2A0CF6EC348F4402D509C4B420A3DAEC2D0BD134707ACDA,22D373FE5F282538EB44F4FF8E4173C8
1/14/2026 10:34:35 AM,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Microsoft Windows Media Player,enabled,Logon,System-wide,Microsoft Windows Media Player Legacy Setup Utility,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\unregmp2.exe,12.0.26100.1882,C:\WINDOWS\system32\unregmp2.exe /ShowWMP,D59496E30D5DB2EF505FB4C437C57387,645268802366CC6826E2F5A8848A62DA89E546D5,A36B1372A4AD365323306AC00CCE61BB26A48F39,989592413B58447DAA3624A0C7E8C9402D361A85A9FCAD3911852C90C862270A,F431F1AF28EB728760CDF1FCC376D75ECC7BEDCF7DF3C1A56831715DE7ED5665,FA5CD440F32D79EC602926E534594A2F
